Zipcode,less_than_9th_grade,9th_to_12th_grade_no_diploma,high_school_graduate,some_college_no_degree,associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,pct_white_only,pct_black_affrican_american_only,pct_native_american_alaska_native_only,pct_asian_only,pct_native_hawaiian_pac_islander_only,pct_some_other_race,pct_two_or_more_races,pct_hispanic_or_latino,pct_15_to_19_yrs,pct_20_to_24_yrs,pct_25_to_34_yrs,pct_35_to_44_yrs,pct_45_to_54_yrs,pct_55_to_59_yrs,pct_60_to_64_yrs,pct_65_to_74_yrs,pct_76_to_84_yrs,pct_85_yrs_and_older
60002,1.2,3.4,23.2,26.3,8.7,24.2,13.1,95984.0,88.6,1.4,0.3,3.1,0.0,2.0,4.7,6.1,8.4,5.4,10.7,10.3,17.9,7.7,7.6,9.9,4.1,1.3
60004,1.9,1.8,15.8,14.5,7.1,34.5,24.3,108890.0,78.3,2.9,0.3,10.2,0.1,4.1,4.2,9.9,5.8,3.6,10.6,13.7,13.4,8.1,6.0,10.3,5.8,2.9
60005,4.4,2.6,16.2,13.9,7.5,33.4,21.9,94670.0,73.5,2.8,0.2,9.9,0.0,5.9,7.8,16.8,5.3,2.3,11.8,15.3,14.8,5.8,7.2,10.4,4.8,3.1
60007,2.4,3.2,22.1,22.2,10.3,27.7,12.1,89408.0,77.9,2.3,0.1,12.0,0.1,1.7,5.8,11.5,5.7,3.8,10.6,14.3,13.3,7.6,7.9,10.0,6.1,2.2
60008,8.9,6.8,22.8,19.5,7.0,23.6,11.4,79857.0,68.2,3.5,0.0,7.2,0.0,11.6,9.5,29.5,4.6,5.7,16.0,12.7,13.7,8.2,4.3,8.8,4.3,2.6
60010,1.2,1.4,9.5,13.5,5.1,40.0,29.3,153125.0,81.1,0.9,0.1,13.8,0.3,1.0,2.8,3.3,8.3,3.5,5.3,11.1,14.9,9.2,6.5,12.0,6.7,2.9
60012,1.1,1.0,17.2,16.1,6.5,30.4,27.7,140788.0,93.7,0.9,0.0,3.0,0.0,0.7,1.7,2.4,9.2,4.6,7.9,12.5,13.7,12.6,7.1,8.4,4.3,1.9
60013,1.8,2.1,20.6,22.5,9.2,29.2,14.6,111950.0,89.9,0.3,0.3,1.5,0.0,1.7,6.3,11.2,7.9,5.8,11.0,13.8,15.3,8.4,7.6,8.7,2.9,0.9
60014,3.2,3.3,20.8,23.3,9.4,26.5,13.5,95576.0,89.9,1.1,0.2,2.8,0.0,1.8,4.3,12.8,7.4,5.8,8.7,14.5,15.1,7.3,6.4,10.2,3.3,1.2
60015,0.6,1.3,6.1,10.6,2.3,39.1,40.0,161700.0,88.8,1.0,0.0,7.6,0.1,0.5,2.0,4.1,6.9,6.2,8.1,12.2,13.6,8.0,8.3,10.0,5.1,2.8
60016,7.0,4.7,20.3,16.6,8.9,26.2,16.3,73428.0,61.2,4.6,0.5,21.9,0.0,5.0,6.7,16.3,5.7,4.3,14.1,13.5,11.5,8.1,8.8,9.5,5.2,2.9
60018,11.1,8.0,28.9,17.8,8.6,18.6,6.9,69834.0,66.5,1.3,2.0,10.9,0.0,6.4,12.9,38.6,7.3,5.7,12.9,12.1,14.6,7.3,6.7,7.7,4.3,2.8
60020,0.8,5.7,36.1,24.6,9.1,18.1,5.6,63432.0,85.9,3.0,0.6,1.0,0.2,2.9,6.3,9.8,3.1,5.2,12.2,13.3,14.6,13.2,5.2,11.8,5.1,1.7
60021,1.3,0.4,19.6,23.1,11.8,29.8,14.0,105583.0,86.5,0.0,0.0,3.4,0.0,0.7,9.5,13.5,7.5,2.9,14.1,13.4,18.8,8.4,5.9,8.3,3.4,0.0
60022,0.0,0.1,3.4,7.3,3.1,38.0,48.0,210000.0,94.7,1.5,0.0,2.3,0.0,0.0,1.5,0.9,6.7,5.3,2.5,10.8,12.9,12.1,6.1,9.9,9.1,1.5
60025,2.5,1.5,12.7,12.5,6.0,34.2,30.5,106519.0,75.1,1.2,0.0,18.3,0.0,1.1,4.3,6.8,6.0,3.4,8.2,11.9,13.3,6.6,8.5,13.0,5.1,3.4
60026,1.0,2.3,7.4,13.2,6.8,32.2,37.1,127663.0,70.1,1.3,0.0,21.4,0.0,1.3,5.8,6.5,7.7,2.0,4.3,13.0,15.6,5.7,6.5,11.4,7.5,5.0
60029,1.1,0.8,9.4,8.6,4.2,38.0,38.0,211100.0,83.0,4.4,0.0,11.1,0.0,0.0,1.5,6.1,11.8,2.3,5.5,7.1,14.9,16.4,5.9,9.5,5.2,4.4
60030,0.9,2.4,18.8,20.2,8.1,30.7,18.8,97295.0,80.2,5.6,0.4,4.6,0.2,3.9,5.1,9.6,6.6,5.8,12.0,12.0,13.9,7.6,7.6,10.4,4.3,2.7
60031,1.9,2.4,15.9,18.6,8.8,33.6,18.8,100100.0,69.3,7.0,0.7,12.9,0.0,3.5,6.7,14.4,9.0,7.5,11.2,11.6,16.0,8.1,7.6,7.9,3.2,1.3
60033,11.0,10.8,38.6,17.0,7.6,10.2,4.8,64039.0,87.3,0.4,0.1,0.2,0.0,5.3,6.7,43.0,7.4,5.2,14.5,10.6,9.8,5.9,7.5,8.2,4.6,1.3
60034,2.2,8.0,33.7,27.4,9.1,15.1,4.4,80938.0,95.3,1.7,0.2,0.0,0.0,1.3,1.5,17.0,7.2,4.7,11.7,9.1,16.0,7.7,11.5,7.8,1.8,1.7
60035,1.6,0.8,8.1,9.8,3.2,38.3,38.2,153199.0,88.9,0.5,0.5,3.0,0.1,2.3,4.6,9.3,5.2,2.3,6.0,11.9,12.3,7.3,8.0,15.3,7.9,2.9
60040,8.8,4.1,21.9,18.9,4.5,23.3,18.5,88913.0,73.7,4.8,0.9,0.4,0.0,14.6,5.6,36.3,6.0,7.6,16.8,12.8,11.3,8.3,3.1,10.4,3.7,1.6
60041,2.8,6.7,29.3,23.2,6.6,19.4,11.8,76382.0,80.0,2.9,0.0,2.4,0.0,4.3,10.4,25.3,5.3,5.7,11.8,10.2,17.1,10.6,7.7,7.6,3.8,1.5
60042,2.5,5.0,33.7,19.7,11.5,21.5,6.1,82933.0,90.1,0.2,0.0,3.0,0.0,2.6,4.0,16.2,5.1,5.6,11.8,14.1,15.1,8.6,6.0,10.0,2.7,2.3
60043,0.7,0.2,2.2,4.0,1.7,42.8,48.4,250000.0,89.2,0.0,0.0,2.5,0.0,1.2,7.0,4.8,7.3,4.0,2.8,11.8,14.3,9.0,6.8,8.5,3.5,1.5
60044,1.4,3.2,11.4,12.5,4.0,34.9,32.6,113516.0,82.4,0.7,0.3,8.4,0.2,1.8,6.2,10.2,8.0,3.8,9.2,10.4,14.4,6.1,7.9,13.6,5.9,2.4
60045,0.5,0.4,4.9,10.1,2.8,39.1,42.2,194462.0,85.0,1.1,0.7,7.4,0.0,1.4,4.4,4.9,9.0,7.9,7.8,7.8,14.1,7.6,5.9,13.0,7.2,3.7
60046,2.7,3.0,24.5,21.0,8.3,25.3,15.2,112077.0,83.1,2.9,0.3,5.4,0.0,2.0,6.4,14.9,8.3,6.1,10.4,12.3,16.4,7.5,5.9,8.4,3.2,1.0
60047,2.3,1.2,12.7,14.8,6.1,33.6,29.2,152984.0,82.6,0.9,0.0,11.5,0.0,0.9,4.1,5.4,7.0,5.7,9.3,11.8,16.1,9.5,8.1,8.5,2.9,1.3
60048,0.8,1.4,10.1,11.8,4.7,38.1,33.0,155179.0,86.3,0.9,0.2,7.3,0.0,1.2,4.1,5.5,8.0,4.9,7.0,11.4,17.1,8.1,6.8,8.8,5.2,2.4
60050,3.0,4.1,30.1,25.6,10.4,20.1,6.7,76147.0,92.2,0.7,0.2,1.0,0.0,1.9,4.1,14.5,5.3,5.7,12.9,14.2,13.8,7.9,6.3,10.0,4.0,2.7
60051,1.9,4.4,28.8,22.8,8.2,23.1,10.9,95280.0,91.1,0.4,0.1,3.0,0.0,1.1,4.3,7.5,5.9,5.0,12.4,12.2,14.8,10.6,8.1,9.4,3.0,1.0
60053,4.6,4.6,19.3,16.0,6.5,30.1,18.9,91389.0,58.4,0.9,0.7,33.5,0.0,1.9,4.5,6.2,6.3,3.2,8.4,14.0,15.3,6.3,6.2,14.2,6.6,3.4
60056,4.4,4.3,21.7,16.2,6.2,31.2,16.0,92736.0,69.7,3.2,0.6,13.7,0.0,6.8,6.0,15.9,5.9,3.4,13.3,14.0,14.6,6.0,6.1,9.4,5.8,2.5
60060,6.4,4.7,20.9,18.1,7.7,27.2,15.0,99419.0,69.4,1.3,0.6,10.3,0.2,9.4,8.9,33.1,6.6,5.9,13.9,12.6,13.5,6.7,7.9,9.1,4.1,2.0
60061,3.1,2.3,11.3,13.7,6.5,34.2,28.8,109150.0,65.0,2.0,0.1,24.4,0.0,3.2,5.2,12.2,8.2,3.8,9.6,14.8,14.7,6.7,6.6,8.7,4.1,2.6
60062,1.1,1.6,11.9,12.2,4.9,33.3,35.1,128312.0,78.4,2.4,0.0,15.2,0.0,1.4,2.6,3.9,6.2,3.7,7.1,10.8,15.1,8.4,7.4,11.6,8.5,4.9
60064,14.0,11.7,33.4,19.1,4.9,10.0,6.9,38591.0,24.0,33.8,0.7,3.2,0.1,23.1,15.1,47.7,6.6,12.3,17.8,11.6,9.0,5.3,5.0,6.4,2.9,1.2
